name,category,county,city,state,description,who_it_helps,eligibility_summary,application_method,referral_required,phone,website,address,status,status_confidence,source_url,source_type,last_verified,notes,priority_score
Independent Living Resources - Housing Advocacy,disability housing support,Multnomah,Portland,OR,Advocacy and information for people with disabilities seeking housing.,People with disabilities.,Living with a disability.,Call 503-232-7411.,No,503-232-7411,https://www.ilr.org/,"1839 NE Couch St, Portland, OR 97232",Open,High,https://www.ilr.org/,Nonprofit,2026-05-06,Provides peer support and skills training.,8
The Community for Positive Aging - Housing Assistance,senior housing support,Multnomah,Portland,OR,Information and assistance for seniors navigating housing options.,Seniors and their families.,Seniors (typically 60+).,Call 503-288-8303.,No,503-288-8303,https://www.communityfpa.org/,"1820 NE 40th Ave, Portland, OR 97212",Open,High,https://www.communityfpa.org/,Nonprofit,2026-05-06,Formerly Hollywood Senior Center.,8
VA Portland Health Care - Homeless Veteran Care,veteran housing support,Multnomah,Portland,OR,Comprehensive services for homeless veterans including HUD-VASH vouchers.,Veterans experiencing or at risk of homelessness.,Veteran status; homeless or at risk.,Call 877-424-3838 or visit CRRC.,No,877-424-3838,https://www.va.gov/portland-health-care/health-services/homeless-veteran-care/,"308 SW 1st Ave, Portland, OR 97204 (CRRC)",Open,High,https://www.va.gov/portland-health-care/health-services/homeless-veteran-care/,Government,2026-05-06,CRRC is the Community Resource and Referral Center.,10
Area Agency on Aging and Disabilities of SW WA - Housing Info,senior housing support,Clark,Vancouver,WA,Information and assistance for seniors and people with disabilities.,Seniors and adults with disabilities in SW Washington.,Seniors or adults with disabilities.,Call 360-694-8144.,No,360-694-8144,https://www.helpingelders.org/,"201 NE 73rd St, Vancouver, WA 98665",Open,High,https://www.helpingelders.org/,Government,2026-05-06,"Serves Clark, Klickitat, Skamania, Cowlitz, and Wahkiakum counties.",8
REACH Community Development - Affordable Housing,affordable housing waitlists,Multnomah,Portland,OR,Develops and manages affordable housing with waitlists.,Low-income individuals and families.,Income-based (typically <60% AMI).,Check website for open waitlists and apply online.,No,503-231-0682,https://reachcdc.org/,"4150 SW Moody Ave, Portland, OR 97239",Open,High,https://reachcdc.org/,Nonprofit,2026-05-06,Waitlists open periodically for specific properties.,7
Impact NW - Deposit Assistance,deposit/move-in assistance,Multnomah,Portland,OR,Help with move-in costs and security deposits.,Low-income households.,Income-based; Multnomah County resident.,Call 211 for referral to Impact NW.,Yes,503-294-7400,https://impactnw.org/,"1005 SE Stark St, Portland, OR 97214",Unknown,Medium,https://impactnw.org/,Nonprofit,2026-05-06,Availability depends on current funding cycles.,7
Portland Homeless Family Solutions - Family Shelter,family shelter,Multnomah,Portland,OR,Emergency shelter and rapid rehousing for families.,Families with children.,Families with at least one minor child.,Call 211 for intake.,Yes,503-915-8306,https://www.phfs.org/,"6220 SE 82nd Ave, Portland, OR 97266",Open,High,https://www.phfs.org/,Nonprofit,2026-05-06,Operates the Family Village shelter.,9
Human Solutions (Our Just Future) - Deposit Assistance,deposit/move-in assistance,Multnomah,Portland,OR,Move-in assistance for families transitioning to housing.,Families experiencing homelessness.,Families with children; Multnomah County resident.,Call 211 for referral.,Yes,503-548-0200,https://ourjustfuture.org/,"12350 SE Powell Blvd, Portland, OR 97236",Unknown,Medium,https://ourjustfuture.org/,Nonprofit,2026-05-06,Part of the Homeless Family System of Care.,7
Native American Youth and Family Center (NAYA) - Housing,rent assistance,Multnomah,Portland,OR,Culturally specific rent and housing assistance.,Native American families and individuals.,Income-based; focus on Native American community.,Call 503-288-8177.,No,503-288-8177,https://nayapdx.org/,"5135 NE Columbia Blvd, Portland, OR 97218",Open,High,https://nayapdx.org/,Nonprofit,2026-05-06,Provides wrap-around services and advocacy.,8
El Programa Hispano Católico - Housing Services,rent assistance,Multnomah,Gresham,OR,Culturally specific rent assistance and housing advocacy.,Latino community in Multnomah County.,Income-based; focus on Latino community.,Call 503-669-8350.,No,503-669-8350,https://www.elprograma.org/,"333 SE 223rd Ave, Suite 100, Gresham, OR 97030",Open,High,https://www.elprograma.org/,Nonprofit,2026-05-06,Bilingual services available.,8
Urban League of Portland - Housing Department,rent assistance,Multnomah,Portland,OR,Culturally specific rent assistance and eviction prevention.,African American and other underserved communities.,Income-based; Multnomah County resident.,Call 503-280-2600.,No,503-280-2600,https://ulpdx.org/,"10 N Russell St, Portland, OR 97227",Open,High,https://ulpdx.org/,Nonprofit,2026-05-06,Focus on housing stability and advocacy.,8
Catholic Charities - Housing Transitions,rent assistance,Multnomah,Portland,OR,Rent assistance and case management for women and families.,Low-income women and families.,Income-based; Multnomah County resident.,Call 503-231-4866.,No,503-231-4866,https://www.catholiccharitiesoregon.org/,"2740 SE Powell Blvd, Portland, OR 97202",Open,High,https://www.catholiccharitiesoregon.org/,Nonprofit,2026-05-06,Provides specialized support for refugees and immigrants.,8
Council for the Homeless - Deposit Assistance,deposit/move-in assistance,Clark,Vancouver,WA,Assistance with move-in costs for Clark County residents.,Low-income households in Clark County.,Income-based; Clark County resident.,Call Housing Hotline: 360-695-9677.,No,360-695-9677,https://www.councilforthehomeless.org/,"2501 NE 54th St, Vancouver, WA 98661",Unknown,Medium,https://www.councilforthehomeless.org/,Nonprofit,2026-05-06,Funds are extremely limited.,7
Janus Youth - The Nest,youth shelter,Multnomah,Portland,OR,Short-term shelter for youth ages 16-24.,Youth ages 16 to 24.,Ages 16-24; experiencing homelessness.,Call Access Center: 503-432-3986.,Yes,503-432-3986,https://janusyouth.org/,Confidential,Open,High,https://janusyouth.org/,Nonprofit,2026-05-06,Focus on stability and long-term housing.,9
Outside In - Street Outreach,outreach teams,Multnomah,Portland,OR,Outreach to homeless youth providing basic needs and referrals.,Homeless youth on the streets.,Youth ages 16-24.,Direct street engagement.,No,503-535-3800,https://outsidein.org/,Varies,Open,High,https://outsidein.org/,Nonprofit,2026-05-06,Provides medical and mental health referrals.,8
Raphael House - Advocacy Center,tenant legal help,Multnomah,Portland,OR,Legal advocacy and support for survivors of domestic violence.,Survivors of domestic violence.,Survivors of abuse.,Call 503-222-6422.,No,503-222-6422,https://raphaelhouse.com/,Confidential,Open,High,https://raphaelhouse.com/,Nonprofit,2026-05-06,Assists with restraining orders and housing rights.,9
Bradley Angle - Economic Empowerment,rent assistance,Multnomah,Portland,OR,Financial assistance and education for DV survivors.,Survivors of domestic violence.,Survivors of abuse.,Call 503-232-1528.,No,503-232-1528,https://bradleyangle.org/,"5432 N Albina Ave, Portland, OR 97217",Open,High,https://bradleyangle.org/,Nonprofit,2026-05-06,Includes credit building and rent support.,8
YWCA Clark County - Independent Youth Housing Program,youth shelter,Clark,Vancouver,WA,Housing support for youth aging out of foster care.,Youth ages 18-24.,Ages 18-24; formerly in foster care.,Call 360-696-0167.,No,360-696-0167,https://www.ywcaclarkcounty.org/,"3609 Main St, Vancouver, WA 98663",Open,High,https://www.ywcaclarkcounty.org/,Nonprofit,2026-05-06,Provides rental subsidies and case management.,9
Clark County Veterans Assistance Center - Outreach,outreach teams,Clark,Vancouver,WA,Outreach to homeless veterans in Clark County.,Homeless veterans.,Veteran status.,"Visit 1305 Columbia St, Suite 100, Vancouver.",No,360-693-7030,https://ccvac.net/,"1305 Columbia St, Suite 100, Vancouver, WA 98660",Open,High,https://ccvac.net/,Nonprofit,2026-05-06,"Provides gear, food, and connections to housing.",8
